pdb_id,molecule_name,entry_uniprot_accession,experimental_method,title
5rfu,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102121
5rka,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z126932614
5rmk,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z1273312153
5rha,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Z147647874 (Mpro-x2779)
5rll,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z425387594
5r91,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment KCL057 in complex with MAP kinase p38-alpha
5raz,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with FM010013a
5rff,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102704
5rlb,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z216450634
5qy2,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry A12b
5qy2,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry A12b
5r0a,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C02, DMSO-free"
5r0a,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C02, DMSO-free"
5r53,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13854a
5r8m,Interleukin-1 beta,P01584,X-ray diffraction,PanDDA analysis group deposition INTERLEUKIN-1 BETA -- Fragment Z1818332938 in complex with INTERLEUKIN-1 BETA
5rao,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with FM001084a
5rfe,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z509756472
5qxx,ATPase family AAA domain-containing protein 2,Q6PL18,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of ATAD2 in complex with RZ99
5r2a,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry H02, DMSO-free"
5rfj,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0103067
5rjl,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with NCL-00024662
5rl8,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z53825177
5r5l,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13589a
5r9b,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N13866a in complex with MAP kinase p38-alpha
5rbu,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library D01a
5rk1,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z1507502062
5rls,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z59181945
5qto,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of NUDT5 in complex with 1R-0641
5r59,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13441a
5r8w,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment K00283c in complex with MAP kinase p38-alpha
5ray,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with FM001469a
5rf1,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with NCL-00023830
5rhb,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Cov_HetLib030 (Mpro-x2097)
5rl4,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition of computational designs of SARS-CoV-2 main protease covalent inhibitors -- Crystal Structure of SARS-CoV-2 main protease in complex with LON-WEI-adc59df6-3 (Mpro-x3124)
5r23,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry F03, DMSO-free"
5r5h,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13706a
5r8x,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N11396a in complex with MAP kinase p38-alpha
5rau,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with DA000165b
5rfp,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102190
5rjy,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z383325512
5rlp,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z166605480
5qtq,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of NUDT5 in complex with FS-1169
5r54,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13582a
5r8o,Interleukin-1 beta,P01584,X-ray diffraction,PanDDA analysis group deposition INTERLEUKIN-1 BETA -- Fragment Z1881545321 in complex with INTERLEUKIN-1 BETA
5rah,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with FM010032a
5rk8,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z53116498
5rlw,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z45705015
5r5d,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13564a
5r8g,Interleukin-1 beta,P01584,X-ray diffraction,PanDDA analysis group deposition INTERLEUKIN-1 BETA -- Fragment Z1259086950 in complex with INTERLEUKIN-1 BETA
5rbz,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library E05a
5r0e,Pre-mRNA-splicing factor 8,"P32357,P33334",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry D02, DMSO-free"
5r0e,A1 cistron-splicing factor AAR2,"P32357,P33334",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry D02, DMSO-free"
5rl2,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition of computational designs of SARS-CoV-2 main protease covalent inhibitors -- Crystal Structure of SARS-CoV-2 main protease in complex with LON-WEI-adc59df6-26 (Mpro-x3115)
5r9o,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N06122b in complex with MAP kinase p38-alpha
5rbt,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library C11b
5reb,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z2856434899
5rhu,Serine protease NS3,Q32ZE1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Zika virus NS3 Helicase in complex with Z1703168683
5rl3,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition of computational designs of SARS-CoV-2 main protease covalent inhibitors -- Crystal Structure of SARS-CoV-2 main protease in complex with LON-WEI-adc59df6-39 (Mpro-x3117)
5ra0,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N13421a in complex with MAP kinase p38-alpha
5qy5,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C02a
5qy5,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C02a
5rfg,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102372
5rhh,Serine protease NS3,Q32ZE1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Zika virus NS3 Helicase in complex with Z1515654336
5r5x,Tenascin,P24821,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of FIBRINOGEN-LIKE GLOBE DOMAIN OF HUMAN TENASCIN-C in complex with Z1259335913
5qy1,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry A07a
5qy1,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry A07a
5r0d,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C11, DMSO-free"
5r0d,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C11, DMSO-free"
5r52,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N14004a
5r8b,Interleukin-1 beta,P01584,X-ray diffraction,PanDDA analysis group deposition INTERLEUKIN-1 BETA -- Fragment Z2027049478 in complex with INTERLEUKIN-1 BETA
5qyb,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry D06a
5qyb,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry D06a
5r0b,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C05, DMSO-free"
5r0b,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C05, DMSO-free"
5r2d,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry H11, DMSO-free"
5r4e,ATPase family AAA domain-containing protein 2,Q6PL18,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of ATAD2 in complex with RZ201
5r60,Tenascin,P24821,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of FIBRINOGEN-LIKE GLOBE DOMAIN OF HUMAN TENASCIN-C in complex with Z19735067
5r9g,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment PC587 in complex with MAP kinase p38-alpha
5rb7,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with FM001648a
5rep,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102201
5rgs,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Z1259086950 (Mpro-x1163)
5rk7,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z31721097
5rlu,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z744754722
5rcc,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library H02b
5re6,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z54571979
5qxv,ATPase family AAA domain-containing protein 2,Q6PL18,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of ATAD2 in complex with PC631
5r5g,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13707a
5r93,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment KCL077 in complex with MAP kinase p38-alpha
5rb3,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with XS039249d
5r7z,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z1220452176
5ra7,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N11351a in complex with MAP kinase p38-alpha
5rer,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102615
5rhm,Serine protease NS3,Q32ZE1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Zika virus NS3 Helicase in complex with Z1454310449
5rmg,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z285675722
5qt2,Histone-lysine N-methyltransferase SETDB1,Q15047,X-ray diffraction,PanDDA analysis group deposition -- Partial occupancy interpretation of PanDDA event map: SETDB1 in complex with FMOPL000074a
5r25,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry F08, DMSO-free"
5r66,Cleavage and polyadenylation specificity factor subunit 5,O43809,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of HUMAN CLEAVAGE FACTOR IM in complex with FMOPL000198a
5r9j,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N14231a in complex with MAP kinase p38-alpha
5rc3,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library F03a
5re8,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z2737076969
5rgw,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Z4444621910 (Mpro-x2569)
5rl7,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z364321922
5r5y,Tenascin,P24821,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of FIBRINOGEN-LIKE GLOBE DOMAIN OF HUMAN TENASCIN-C in complex with Z509756472
5r9r,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N13413a in complex with MAP kinase p38-alpha
5reh,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z111507846
5r22,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry E11, DMSO-free"
5rgq,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Z1849009686 (Mpro-x1086)
5rkt,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z1266933824
5r0m,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry H12, DMSO-free"
5r0m,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry H12, DMSO-free"
5r4r,Cleavage and polyadenylation specificity factor subunit 5,O43809,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of HUMAN CLEAVAGE FACTOR IM in complex with EN08775-42
5r9n,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N13421a in complex with MAP kinase p38-alpha
5rbx,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library D10a
5rfd,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z126932614
5rh7,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Z4439011584 (Mpro-x2705)
5rke,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z906021418
5rme,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z26333434
5qyf,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry F02a
5qyf,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry F02a
5rhp,Serine protease NS3,Q32ZE1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Zika virus NS3 Helicase in complex with Z2856434938
5rlz,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z2293643386
5qy7,Pre-mRNA-splicing factor 8,"P32357,P33334",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C08a
5qy7,A1 cistron-splicing factor AAR2,"P32357,P33334",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C08a
5r0j,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry F08, DMSO-free"
5r0j,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,"PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry F08, DMSO-free"
5r8n,Interleukin-1 beta,P01584,X-ray diffraction,PanDDA analysis group deposition INTERLEUKIN-1 BETA -- Fragment Z57292400 in complex with INTERLEUKIN-1 BETA
5ral,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with XS039332c
5qxq,ATPase family AAA domain-containing protein 2,Q6PL18,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of ATAD2 in complex with TCJ779
5r26,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry G02, DMSO-free"
5rf6,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z1348371854
5rhq,Serine protease NS3,Q32ZE1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Zika virus NS3 Helicase in complex with Z235449082
5rln,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z364328788
5qt1,Histone-lysine N-methyltransferase SETDB1,Q15047,X-ray diffraction,PanDDA analysis group deposition -- Partial occupancy interpretation of PanDDA event map: SETDB1 in complex with FMOMB000017a
5qxz,ATPase family AAA domain-containing protein 2,Q6PL18,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of ATAD2 in complex with DF853
5r1v,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry C04, DMSO-free"
5r5c,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13956a
5r97,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N13662a in complex with MAP kinase p38-alpha
5rbs,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library C08a
5rft,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102432
5rk0,PH-interacting protein,Q8WWQ0,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of PHIP in complex with Z30932204
5rm6,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z396380540
5qtr,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of NUDT5 in complex with FS-3764
5qy8,Pre-mRNA-splicing factor 8,"P32357,P33334",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C10a
5qy8,A1 cistron-splicing factor AAR2,"P32357,P33334",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C10a
5r5u,Tenascin,P24821,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of FIBRINOGEN-LIKE GLOBE DOMAIN OF HUMAN TENASCIN-C in complex with Z1545312521
5r9q,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N07422b in complex with MAP kinase p38-alpha
5rce,Endothiapepsin,P11838,X-ray diffraction,PanDDA analysis group deposition -- Endothiapepsin changed state model for fragment F2X-Entry Library H05a
5rmh,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z1101755952
5qy6,Pre-mRNA-splicing factor 8,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C05a
5qy6,A1 cistron-splicing factor AAR2,"P33334,P32357",X-ray diffraction,PanDDA analysis group deposition -- Aar2/RNaseH in complex with fragment F2X-Entry C05a
5r1y,Endothiapepsin,P11838,X-ray diffraction,"PanDDA analysis group deposition -- Endothiapepsin in complex with fragment F2X-Entry D10, DMSO-free"
5r5e,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N13848a
5r95,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment KCL093 in complex with MAP kinase p38-alpha
5rav,Lysine-specific demethylase 3B,Q7LBC6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD1B in complex with FM001763a
5rfc,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z979145504
5rhx,Serine protease NS3,Q32ZE1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Zika virus NS3 Helicase in complex with Z1324080698
5rma,Helicase nsp13,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 helicase in complex with Z321318226
5rej,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with PCM-0102241
5rgr,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Z328695024 (Mpro-x1101)
5r4t,Cleavage and polyadenylation specificity factor subunit 5,O43809,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of HUMAN CLEAVAGE FACTOR IM in complex with SK-430
5r8i,Interleukin-1 beta,P01584,X-ray diffraction,PanDDA analysis group deposition INTERLEUKIN-1 BETA -- Fragment Z210803634 in complex with INTERLEUKIN-1 BETA
5r9u,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N13475a in complex with MAP kinase p38-alpha
5red,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SARS-CoV-2 main protease in complex with Z2856434865
5rl1,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition of computational designs of SARS-CoV-2 main protease covalent inhibitors -- Crystal Structure of SARS-CoV-2 main protease in complex with LON-WEI-adc59df6-27 (Mpro-x3113)
5rh1,3C-like proteinase nsp5,P0DTD1,X-ray diffraction,PanDDA analysis group deposition SARS-CoV-2 main protease fragment screen -- Crystal Structure of SARS-CoV-2 main protease in complex with Z2010253653 (Mpro-x2643)
5r5o,Uridine diphosphate glucose pyrophosphatase NUDT22,Q9BRQ3,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human NUDT22 in complex with N14027a
5r9e,Mitogen-activated protein kinase 14,P47811,X-ray diffraction,PanDDA analysis group deposition Form1 MAP kinase p38-alpha -- Fragment N13693a in complex with MAP kinase p38-alpha
